seller_id,seller_state,orders,merchandise_gmv_brl,freight_value_brl,average_review,late_delivery_rate,low_review_rate,low_review_orders,freight_burden,scale_flag,delay_risk_flag,review_risk_flag,priority_flag
4a3ca9315b744ce9f8e9374361493884,SP,1772,196882.12,34338.31,3.8533941814033086,0.09706546275395034,0.18284424379232506,324,0.14850897907248076,True,True,True,True
7c67e1448b00f6e969d365cea6b010ab,SP,973,186570.05,51236.64,3.4984488107549123,0.09146968139773895,0.2528263103802672,246,0.21545499834340237,True,True,True,True
1f50f920176fa81dab994f9023523100,SP,1399,106655.70999999999,35057.23,4.140602582496413,0.08863473909935668,0.139385275196569,195,0.24738199630887625,True,True,True,True
ea8482cd71df3c1969d7b9473ff13abc,SP,1132,36696.76,17291.87,4.0266429840142095,0.08480565371024736,0.14487632508833923,164,0.3202872530753234,True,True,True,True
1025f0e2d44d7041d6cf58b6550e0bfa,SP,910,138208.56,33716.4,4.006651884700665,0.07912087912087912,0.16813186813186815,153,0.19611114058133272,True,True,True,True
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1124,226987.93,20019.13,4.150537634408602,0.10498220640569395,0.1298932384341637,146,0.0810467927515918,True,True,True,True
8b321bb669392f5163d04c59e235e066,SP,930,17262.94,13924.0,4.10475161987041,0.08709677419354839,0.14086021505376345,131,0.4464689386005809,True,True,True,True
1835b56ce799e6a4dc4eddc053f04066,SP,417,33005.32,8622.96,3.6666666666666665,0.10311750599520383,0.23741007194244604,99,0.20714187566721468,True,True,True,True
7d13fca15225358621be4086e1eb0964,SP,558,112436.18000000001,8498.29,4.0414414414414415,0.11469534050179211,0.17025089605734767,95,0.07027185880088614,True,True,True,True
2eb70248d66e0e3ef83659f71b244378,SP,187,38990.72,3056.01,2.7934782608695654,0.11229946524064172,0.46524064171123,87,0.07268127628474319,True,True,True,True
391fc6631aebcf3004804e51b40bcf1e,SP,521,39475.3,10083.84,4.044401544401544,0.08637236084452975,0.14779270633397312,77,0.2034708431179395,True,True,True,True
1900267e848ceeba8fa32d80c1a5f5a8,SP,406,24639.57,8039.97,3.8596491228070176,0.0812807881773399,0.18719211822660098,76,0.2460245768453289,True,True,True,True
88460e8ebdecbfecb5f9601833981930,PR,246,31320.4,4938.19,3.4326530612244897,0.17073170731707318,0.3048780487804878,75,0.13619365783390913,True,True,True,True
4e922959ae960d389249c378d1c939f5,SP,412,45338.42,7147.18,3.963235294117647,0.08980582524271845,0.1796116504854369,74,0.13617411251848127,True,True,True,True
897060da8b9a21f655304d50fd935913,SP,304,21740.51,6517.82,3.7176079734219267,0.10526315789473684,0.23026315789473684,70,0.23065128052506995,True,True,True,True
8160255418d5aaa7dbdc9f4c64ebda44,SP,380,46368.39,7727.29,3.9547872340425534,0.1368421052631579,0.16842105263157894,64,0.1428448630278795,True,True,True,True
1ca7077d890b907f89be8c954a02686a,SP,108,12474.64,1522.01,2.392523364485981,0.16666666666666666,0.5925925925925926,64,0.10874102017268418,True,True,True,True
06a2c3af7b3aee5d69171b0e14f0ee87,MA,389,36097.979999999996,12071.52,4.012987012987013,0.19023136246786632,0.15938303341902313,62,0.25060505091396007,True,True,True,True
70a12e78e608ac31179aea7f8422044b,SP,312,29963.53,5523.72,3.8129032258064517,0.09294871794871795,0.1955128205128205,61,0.15565365025466893,True,True,True,True
855668e0971d4dfd7bef1b6a4133b41b,SP,300,30849.22,7559.34,3.85472972972973,0.12666666666666668,0.20333333333333334,61,0.19681393939267708,True,True,True,True
7040e82f899a04d1b434b795a43b4617,SP,208,9213.7,3123.26,3.650485436893204,0.07692307692307693,0.2548076923076923,53,0.25316285373382097,True,True,True,True
16090f2ca825584b5a147ab24aa30c86,SP,398,25579.16,5404.86,4.088383838383838,0.08040201005025126,0.1306532663316583,52,0.17444024371272673,True,True,True,True
ef506c96320abeedfb894c34db06f478,SP,316,9556.5,5092.3,3.961783439490446,0.07911392405063292,0.16139240506329114,51,0.347625744088253,True,True,True,True
c826c40d7b19f62a09e2d7c5e7295ee2,SP,346,44653.04,5443.63,4.130434782608695,0.07514450867052024,0.1416184971098266,49,0.10866251189949352,True,True,True,True
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,325,54435.66,7767.09,4.027950310559007,0.08307692307692308,0.15076923076923077,49,0.12486730892122937,True,True,True,True
77530e9772f57a62c906e1c21538ab82,PR,312,45676.6,8274.71,4.147435897435898,0.09294871794871795,0.14743589743589744,46,0.15337366228920113,True,True,True,True
4c2b230173bb36f9b240f2b8ac11786e,SP,258,14474.57,4354.14,3.9763779527559056,0.09302325581395349,0.17829457364341086,46,0.23125004315218622,True,True,True,True
7142540dd4c91e2237acb7e911c4eba2,SP,316,37181.94,6843.74,4.047770700636943,0.07278481012658228,0.13924050632911392,44,0.15544881987058462,True,True,True,True
634964b17796e64304cadf1ad3050fb7,RJ,265,39114.1,5900.0,4.056603773584905,0.09433962264150944,0.1509433962264151,40,0.13107004249779514,True,True,True,True
e5a3438891c0bfdb9394643f95273d8e,SP,216,7549.96,3280.74,3.986046511627907,0.1574074074074074,0.17592592592592593,38,0.30291116917650746,True,True,True,True
c3867b4666c7d76867627c2f7fb22e21,SP,228,34666.9,4693.3,4.079646017699115,0.10964912280701754,0.15350877192982457,35,0.11923973963546933,True,True,True,True
f45122a9ab94eb4f3f8953578bc0c560,SP,184,21764.68,3279.19,3.972826086956522,0.07065217391304347,0.17391304347826086,32,0.13093783029539766,True,True,True,True
522620dcb18a6b31cd7bdf73665113a9,PR,172,56690.49,4583.17,3.905325443786982,0.0872093023255814,0.18604651162790697,32,0.07479837176365832,True,True,True,True
7aa4334be125fcdd2ba64b3180029f14,SP,214,16012.949999999999,4317.57,4.131455399061033,0.11682242990654206,0.14018691588785046,30,0.21236889169583464,True,True,True,True
e9bc59e7b60fc3063eb2290deda4cced,PR,209,33543.69,4538.7300000000005,4.076555023923445,0.07655502392344497,0.14354066985645933,30,0.11918176418410384,True,True,True,True
25c5c91f63607446a97b143d2d535d31,MG,156,54208.78,6945.92,3.8451612903225807,0.07051282051282051,0.19230769230769232,30,0.11357949593408194,True,True,True,True
b2479f944e1b90cf8a5de1bbfde284d6,SP,101,4666.53,2207.7,3.47,0.1188118811881188,0.297029702970297,30,0.3211559694685805,True,True,True,True
7ad32824caee82087b3e2e5f33b1bf32,SP,147,22018.1,3477.7,3.861111111111111,0.1292517006802721,0.19047619047619047,28,0.1364028585100291,True,True,True,True
431af27f296bc6519d890aa5a05fdb11,SP,116,12974.6,2128.45,3.8,0.13793103448275862,0.23275862068965517,27,0.14092848795441978,True,True,True,True
f262cbc1c910c83959f849465454ddd3,SP,189,10199.86,2455.04,4.180851063829787,0.07407407407407407,0.13756613756613756,26,0.19399916237978962,True,True,True,True
59b22a78efb79a4797979612b885db36,MG,125,27184.5,4897.57,3.9838709677419355,0.112,0.2,25,0.15265754360613265,True,True,True,True
7d76b645482be4a332374e8223836592,SP,172,3765.74,2522.0299999999997,4.0,0.09302325581395349,0.13953488372093023,24,0.40110086723910066,True,True,True,True
cfb1a033743668a192316f3c6d1d2671,SP,143,12609.54,3361.16,4.042253521126761,0.0979020979020979,0.16083916083916083,23,0.2104579010312635,True,True,True,True
