delay_bucket,orders,average_review,low_review_rate,average_delivery_days
On time / early,89936,4.290386055923885,0.09216553993951254,11.004047417258034
1-3 days late,1870,3.291036717062635,0.3181818181818182,23.308017181620123
4-7 days late,1802,2.102974828375286,0.6564927857935627,28.234331658239814
8+ days late,2862,1.6961524631427545,0.7704402515723271,44.50277328888112
